ONo,Name,Desc,Url
186,Free and Open Source Silicon Foundation,Working together for Free and Open Source Silicon,https://summerofcode.withgoogle.com/programs/2022/organizations/free-and-open-source-silicon-foundation
187,CircuitVerse.org,Build and learn logic circuits in the cloud!,https://summerofcode.withgoogle.com/programs/2022/organizations/circuitverseorg
188,Scala Center,Guide and support the Scala community,https://summerofcode.withgoogle.com/programs/2022/organizations/scala-center
189,Synfig,Open-source 2D animation software,https://summerofcode.withgoogle.com/programs/2022/organizations/synfig
190,Jenkins X,Accelerate Your Continuous Delivery on Kubernetes,https://summerofcode.withgoogle.com/programs/2022/organizations/jenkins-x
191,Electron,Cross-platform desktop apps with web technologies,https://summerofcode.withgoogle.com/programs/2022/organizations/electron
192,MBDyn,Open Source Multibody Simulation,https://summerofcode.withgoogle.com/programs/2022/organizations/mbdyn
193,Orcasound,Humans & AI listening together to save the whales.,https://summerofcode.withgoogle.com/programs/2022/organizations/orcasound
194,Software Heritage,The universal source code archive,https://summerofcode.withgoogle.com/programs/2022/organizations/software-heritage
195,LibreCube Initiative,Open Source Space and Earth Exploration,https://summerofcode.withgoogle.com/programs/2022/organizations/librecube-initiative
196,freifunk,Free and open wireless networks,https://summerofcode.withgoogle.com/programs/2022/organizations/freifunk
197,R project for statistical computing,R software for statistical computing & graphics,https://summerofcode.withgoogle.com/programs/2022/organizations/r-project-for-statistical-computing
198,Mayor's Office of New Urban Mechanics,Exploring new approaches to civic life.,https://summerofcode.withgoogle.com/programs/2022/organizations/mayors-office-of-new-urban-mechanics
