ONo,Name,Desc,Url,Nb Tech,Nb Topics,Org link,Guidance link
71,GNSS-SDR,An open source GNSS software-defined receiver,https://summerofcode.withgoogle.com/programs/2022/organizations/gnss-sdr,2,0
72,Weaviate,The ML-first vector search engine,https://summerofcode.withgoogle.com/programs/2022/organizations/weaviate,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
73,OpenMRS,"Write Code, Save Lives.",https://summerofcode.withgoogle.com/programs/2022/organizations/openmrs,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
74,Kodi,The ultimate entertainment center,https://summerofcode.withgoogle.com/programs/2022/organizations/kodi,4,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
75,AnkiDroid,AnkiDroid makes remembering things easy,https://summerofcode.withgoogle.com/programs/2022/organizations/ankidroid,0,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
77,Zulip,Modern team chat app designed for efficiency.,https://summerofcode.withgoogle.com/programs/2022/organizations/zulip,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
78,IOOS,"Our eyes on the ocean, coasts, and Great Lakes",https://summerofcode.withgoogle.com/programs/2022/organizations/ioos,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
79,Ruby,Ruby is an object-oriented programming language,https://summerofcode.withgoogle.com/programs/2022/organizations/ruby,1,2,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
80,GNU Image Manipulation Program,GIMP is a cross-platform image editor,https://summerofcode.withgoogle.com/programs/2022/organizations/gnu-image-manipulation-program,1,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
81,Wellcome Sanger Tree of Life,Genome analysis across the whole tree of life,https://summerofcode.withgoogle.com/programs/2022/organizations/wellcome-sanger-institute,3,0
82,The ENIGMA Team,A free rapid game development environment.,https://summerofcode.withgoogle.com/programs/2022/organizations/the-enigma-team,2,0
83,Flashrom,"Reading, writing, verifying, erasing flash chips",https://summerofcode.withgoogle.com/programs/2022/organizations/flashrom,1,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
